Name	Piece	Section	Type	D	DH	Hground	Hnacelle	H	t	Bolts	Bolt_per_gage	Detail ID	Class
D_0_0	0	0	NA	4000	0	0	1130	68294	34	NA	NA	NA	NA
D_0_1	0	1	Soldadura	4000	70	70	1130	68224	34	NA	NA	8.1_1	63
D_0_2	0	2	Soldadura	4000	2110	2180	1130	66114	34	NA	NA	8.1_1	50
D_1_0	1	0	Soldadura	4000	295	2475	1130	65819	38	NA	NA	8.1_1	50
D_1_1	1	1	Soldadura	3923	2170	4645	1130	63649	38	NA	NA	8.3_11	80
D_1_2	1	2	Soldadura	3847	2360	7005	1130	61289	34	NA	NA	8.3_11	80
D_1_3	1	3	Soldadura	3770	2360	9365	1130	58929	34	NA	NA	8.3_11	80
D_1_4	1	4	Soldadura	3693	2360	11725	1130	56569	34	NA	NA	8.3_11	80
D_1_5	1	5	Soldadura	3616	2360	14085	1130	54209	34	NA	NA	8.3_11	80
D_1_6	1	6	Soldadura	3540	2360	16445	1130	51849	34	NA	NA	8.3_11	80
D_1_7	1	7	Soldadura	3462	2365	18810	1130	49484	32	NA	NA	8.1_1	50
D_2_0	2	0	Soldadura	3462	310	19120	1130	49174	32	NA	NA	8.1_1	50
D_2_1	2	1	Soldadura	3391	2340	21460	1130	46834	32	NA	NA	8.3_11	80
D_2_2	2	2	Soldadura	3320	2360	23820	1130	44474	32	NA	NA	8.3_11	80
D_2_3	2	3	Soldadura	3250	2360	26180	1130	42114	32	NA	NA	8.3_11	80
D_2_4	2	4	Soldadura	3179	2360	28540	1130	39754	30	NA	NA	8.3_11	80
D_2_5	2	5	Soldadura	3108	2360	30900	1130	37394	30	NA	NA	8.3_11	80
D_2_6	2	6	Soldadura	3037	2360	33260	1130	35034	29	NA	NA	8.3_11	80
D_2_7	2	7	Soldadura	2966	2360	35620	1130	32674	29	NA	NA	8.3_11	80
D_2_8	2	8	Soldadura	2895	2360	37980	1130	30314	28	NA	NA	8.3_11	80
D_2_9	2	9	Soldadura	2825	2360	40340	1130	27954	27	NA	NA	8.3_11	80
D_2_10	2	10	Soldadura	2755	2317	42657	1130	25637	26	NA	NA	8.1_1	56
D_3_0	3	0	Soldadura	2755	260	42917	1130	25377	26	NA	NA	8.1_1	56
D_3_1	3	1	Soldadura	2690	2180	45097	1130	23197	26	NA	NA	8.3_11	80
D_3_2	3	2	Soldadura	2660	2430	47527	1130	20767	25	NA	NA	8.3_11	80
D_3_3	3	3	Soldadura	2630	2430	49957	1130	18337	23	NA	NA	8.3_11	80
D_3_4	3	4	Soldadura	2600	2430	52387	1130	15907	22	NA	NA	8.3_11	80
D_3_5	3	5	Soldadura	2570	2430	54817	1130	13477	20	NA	NA	8.3_11	80
D_3_6	3	6	Soldadura	2540	2430	57247	1130	11047	19	NA	NA	8.3_11	80
D_3_7	3	7	Soldadura	2510	2440	59687	1130	8607	17	NA	NA	8.3_11	80
D_3_8	3	8	Soldadura	2480	2440	62127	1130	6167	16	NA	NA	8.3_11	80
D_3_9	3	9	Soldadura	2450	2440	64567	1130	3727	16	NA	NA	8.3_11	80
D_3_10	3	10	Soldadura	2300	2597	67164	1130	1130	14	NA	NA	8.1_1	56
